policy,scene_seed,success,false_confirmation,timeout,stopped,steps,total_reward,final_true_ratio,final_rgb_texture_ratio,final_height_ratio,actions
ppo_seed_202,6020229,1,0,0,1,5,4.3,0.4078,0.1776999980211258,0.40450000762939453,0-0-0-0-3
ppo_seed_202,6523515,1,0,0,1,3,4.6000000000000005,0.5259,0.09350000321865082,0.5206000208854675,1-1-3
ppo_seed_202,7149510,1,0,0,1,3,4.6000000000000005,0.3511,0.2175000011920929,0.3472999930381775,1-1-3
ppo_seed_202,3093542,1,0,0,1,11,3.4,0.2399,0.20990000665187836,0.23800000548362732,0-0-1-1-1-0-1-1-1-0-3
ppo_seed_202,5906200,1,0,0,1,5,4.3,0.2555,0.2184000015258789,0.2524999976158142,0-0-0-0-3
ppo_seed_202,4027231,1,0,0,1,3,4.6000000000000005,0.4694,0.14020000398159027,0.4650000035762787,0-0-3
ppo_seed_202,5388896,1,0,0,1,3,4.6000000000000005,0.5798,0.07400000095367432,0.5756999850273132,0-0-3
ppo_seed_202,8882330,1,0,0,1,3,4.6000000000000005,0.4739,0.1306000053882599,0.47049999237060547,0-0-3
ppo_seed_202,3971475,1,0,0,1,2,4.75,0.2892,0.227400004863739,0.28610000014305115,0-3
ppo_seed_202,6271297,1,0,0,1,2,4.75,0.2276,0.20669999718666077,0.2257000058889389,0-3
ppo_seed_202,2074972,1,0,0,1,1,4.9,0.2235,0.20069999992847443,0.22110000252723694,3
ppo_seed_202,3548789,1,0,0,1,8,3.85,0.3075,0.22550000250339508,0.30489999055862427,1-1-1-1-1-0-1-3
ppo_seed_202,4561542,1,0,0,1,3,4.6000000000000005,0.2825,0.22910000383853912,0.2800000011920929,1-1-3
ppo_seed_202,3834517,1,0,0,1,5,4.3,0.339,0.22269999980926514,0.3361000120639801,0-0-0-0-3
ppo_seed_202,8212123,1,0,0,1,2,4.75,0.3568,0.21660000085830688,0.35269999504089355,0-3
ppo_seed_202,8286756,1,0,0,1,4,4.449999999999999,0.4057,0.18199999630451202,0.40299999713897705,0-0-0-3
ppo_seed_202,6702641,1,0,0,1,2,4.75,0.3032,0.2395000010728836,0.29989999532699585,0-3
ppo_seed_202,3166597,1,0,0,1,4,4.449999999999999,0.3693,0.21230000257492065,0.3653999865055084,1-1-1-3
ppo_seed_202,6736363,1,0,0,1,11,3.4,0.4636,0.1395999938249588,0.45890000462532043,0-0-1-1-1-0-1-1-1-1-3
ppo_seed_202,7659916,1,0,0,1,4,4.449999999999999,0.487,0.12530000507831573,0.482699990272522,1-1-1-3
ppo_seed_202,3243187,1,0,0,1,11,3.4,0.2117,0.20329999923706055,0.20900000631809235,0-0-1-1-1-0-1-1-1-0-3
