#{"t_start": 1787939463.9337525, "env_id": "None"}
r,l,t
3.85,8,106.449625
3.4,11,106.489027
4.45,4,106.516236
4.45,4,106.540484
-1.75,15,106.585626
-3.35,8,106.625167
4.45,4,106.655875
3.25,12,106.699185
4.6,3,106.724534
3.4,11,106.765814
3.85,8,106.804365
4.6,3,106.833497
4.15,6,106.86932
-1.75,15,106.927082
4.3,5,106.95959
3.85,8,106.993447
-3.55,12,107.031583
4.15,6,107.059982
-3.45,10,107.093665
4.0,7,107.126292
4.0,7,107.163996
4.0,7,107.199661
3.85,8,107.230808
4.45,4,107.404889
4.0,7,107.447368
-1.75,15,107.499533
4.45,4,107.538861
4.3,5,107.571747
-3.0,1,107.593002
-3.6,13,107.63961
-3.0,1,107.661339
-3.35,8,107.696292
-3.1,3,107.72077
3.4,11,107.756517
-3.35,8,107.793702
3.25,12,107.83268
4.3,5,107.860017
4.75,2,107.886035
4.0,7,107.915283
4.0,7,107.949645
-1.75,15,107.994514
4.6,3,108.021924
4.0,7,108.056464
-3.45,10,108.090034
3.7,9,108.122948
4.75,2,108.148595
4.3,5,108.176958
3.85,8,108.215439
4.0,7,108.252627
3.7,9,108.290227
3.85,8,108.329949
3.55,10,108.367809
4.6,3,108.395529
3.1,13,108.442739
4.45,4,108.473002
4.9,1,108.497983
-3.0,1,108.520128
-3.25,6,108.553906
4.45,4,108.584319
3.55,10,108.622983
-3.2,5,108.653877
3.55,10,108.840376
3.85,8,108.875679
4.6,3,108.90496
3.55,10,108.950448
3.4,11,108.992956
-3.2,5,109.027484
-3.35,8,109.06705
-1.75,15,109.113464
3.4,11,109.157994
4.0,7,109.192827
4.3,5,109.225248
-1.75,15,109.269598
3.7,9,109.3017
4.15,6,109.337141
4.45,4,109.367285
3.85,8,109.399279
3.7,9,109.430224
4.15,6,109.459447
-3.25,6,109.491126
3.55,10,109.539541
4.0,7,109.571494
3.55,10,109.605559
4.3,5,109.63904
-3.0,1,109.662003
3.4,11,109.704905
-3.1,3,109.727787
4.45,4,109.757668
4.3,5,109.78984
-3.45,10,109.829527
4.6,3,109.854761
4.6,3,109.881117
-3.25,6,109.908697
4.0,7,109.940848
4.0,7,109.972639
4.6,3,110.001871
4.6,3,110.025972
4.3,5,110.055535
