#{"t_start": 1787939897.3032408, "env_id": "None"}
r,l,t
4.0,7,53.62451
4.15,6,53.655139
-1.75,15,53.707842
-1.75,15,53.755821
3.7,9,53.794135
3.7,9,53.840696
4.45,4,53.873487
4.45,4,53.900624
4.6,3,53.926541
4.0,7,53.957161
4.9,1,53.980974
4.3,5,54.009683
4.6,3,54.038887
4.0,7,54.067933
3.7,9,54.103672
4.15,6,54.131639
4.0,7,54.165918
4.15,6,54.19677
3.25,12,54.234426
4.45,4,54.261443
4.75,2,54.283604
-1.75,15,54.329739
-3.6,13,54.373629
4.6,3,54.399861
3.7,9,54.437165
-1.75,15,54.481682
4.0,7,54.516153
3.7,9,54.553932
4.3,5,54.589028
4.0,7,54.622537
3.4,11,54.816817
3.25,12,54.856986
4.6,3,54.883706
-3.4,9,54.917072
4.0,7,54.950071
-1.75,15,54.994766
4.6,3,55.01988
4.6,3,55.044537
3.4,11,55.085602
4.6,3,55.110818
4.45,4,55.140459
3.85,8,55.170907
4.15,6,55.203029
3.25,12,55.249358
4.45,4,55.276124
3.7,9,55.315165
4.75,2,55.340574
4.45,4,55.366051
4.75,2,55.392605
4.75,2,55.42242
3.85,8,55.456416
4.6,3,55.483756
4.15,6,55.516706
4.15,6,55.552736
4.75,2,55.579122
4.45,4,55.60913
4.75,2,55.634622
4.6,3,55.660506
4.6,3,55.692649
3.7,9,55.726426
4.6,3,55.754611
4.9,1,55.781562
3.25,12,55.8248
4.75,2,55.851152
4.45,4,55.88145
-3.7,15,55.927226
3.25,12,55.973968
-1.75,15,56.024073
3.85,8,56.063964
3.7,9,56.106433
3.25,12,56.307774
-1.75,15,56.362274
4.9,1,56.389253
4.15,6,56.425192
-1.75,15,56.480057
4.3,5,56.518176
4.45,4,56.547193
3.85,8,56.587496
4.75,2,56.615694
4.75,2,56.642741
4.15,6,56.683775
4.6,3,56.709837
-1.75,15,56.753093
3.85,8,56.785638
4.3,5,56.813075
4.45,4,56.839736
4.75,2,56.867133
4.75,2,56.895612
3.25,12,56.938519
-1.75,15,56.981132
4.75,2,57.006585
4.3,5,57.035398
3.7,9,57.069725
4.45,4,57.095562
4.6,3,57.123901
4.15,6,57.156277
3.7,9,57.194908
4.0,7,57.23881
4.45,4,57.271273
4.3,5,57.308211
4.15,6,57.341241
4.45,4,57.36909
-1.75,15,57.419791
4.6,3,57.458029
4.45,4,57.487014
3.4,11,57.537792
3.55,10,57.578475
3.7,9,57.624734
4.15,6,57.830751
4.3,5,57.86638
4.75,2,57.896231
3.85,8,57.940672
3.7,9,57.988456
3.85,8,58.028481
-1.75,15,58.077083
4.15,6,58.108854
-1.75,15,58.162925
-3.5,11,58.204811
-1.75,15,58.249885
4.9,1,58.270907
4.15,6,58.303442
3.7,9,58.341837
-1.75,15,58.392962
-3.15,4,58.417768
3.85,8,58.449611
4.0,7,58.48429
3.55,10,58.528535
4.75,2,58.555936
3.85,8,58.600228
3.55,10,58.638347
4.15,6,58.673283
4.0,7,58.705751
4.15,6,58.738633
4.15,6,58.7751
-3.4,9,58.809539
4.15,6,58.841474
3.55,10,58.876765
3.55,10,58.91301
4.6,3,58.93981
4.3,5,58.969822
4.6,3,58.993758
4.75,2,59.019288
-1.75,15,59.219085
3.85,8,59.256305
4.6,3,59.287043
4.6,3,59.315675
4.6,3,59.346811
4.0,7,59.378501
4.45,4,59.409285
4.45,4,59.438541
-3.55,12,59.480169
4.3,5,59.508816
4.9,1,59.532828
-1.75,15,59.580266
3.7,9,59.617285
4.9,1,59.647862
4.3,5,59.676876
3.85,8,59.715978
3.25,12,59.756989
-1.75,15,59.802466
4.75,2,59.829721
4.75,2,59.855762
4.45,4,59.886712
3.25,12,59.925451
4.15,6,59.960286
4.45,4,59.98909
-1.75,15,60.031721
4.6,3,60.057983
4.0,7,60.092772
-1.75,15,60.14305
4.15,6,60.175101
3.55,10,60.210391
4.3,5,60.252527
4.3,5,60.28972
-1.75,15,60.344173
4.45,4,60.375256
-3.55,12,60.415119
4.6,3,60.444115
4.3,5,60.633949
-1.75,15,60.68097
3.25,12,60.728839
4.45,4,60.767373
4.45,4,60.795417
3.25,12,60.836893
4.6,3,60.861204
4.0,7,60.896882
4.45,4,60.929709
3.4,11,60.975678
4.6,3,61.00114
3.25,12,61.042269
3.55,10,61.081563
4.15,6,61.11705
-1.75,15,61.172014
3.25,12,61.218816
-3.3,7,61.254145
4.45,4,61.28176
3.7,9,61.31942
3.7,9,61.353394
3.55,10,61.394952
3.85,8,61.42826
4.6,3,61.455923
3.55,10,61.494091
4.45,4,61.524948
3.4,11,61.565681
4.9,1,61.589044
4.3,5,61.618497
4.0,7,61.649518
4.15,6,61.678725
4.15,6,61.708293
4.75,2,61.731005
4.0,7,61.763419
4.45,4,61.79458
3.55,10,61.978292
4.6,3,62.002376
3.1,13,62.044905
