#{"t_start": 1787938173.2998667, "env_id": "None"}
r,l,t
4.0,7,145.20351
4.75,2,145.231394
4.3,5,145.26745
-3.25,6,145.307645
4.6,3,145.343451
4.75,2,145.372797
4.6,3,145.401798
4.75,2,145.428702
4.0,7,145.461792
4.45,4,145.494284
4.75,2,145.521931
3.85,8,145.569212
4.15,6,145.600236
4.6,3,145.6296
4.75,2,145.655949
4.75,2,145.680496
3.25,12,145.723081
4.6,3,145.754802
4.9,1,145.776648
4.45,4,145.805461
-1.75,15,145.855359
3.85,8,145.88982
4.3,5,145.91941
-1.75,15,145.961046
4.15,6,145.988584
4.45,4,146.014718
4.0,7,146.046854
4.3,5,146.074935
3.55,10,146.255394
4.45,4,146.282466
4.45,4,146.311754
4.3,5,146.340719
4.3,5,146.370848
4.6,3,146.39605
3.25,12,146.441291
4.6,3,146.466695
4.3,5,146.495627
4.6,3,146.52458
4.45,4,146.554857
4.45,4,146.585366
4.0,7,146.622757
4.15,6,146.653467
-1.75,15,146.698378
4.15,6,146.733301
4.45,4,146.761109
4.75,2,146.785698
4.3,5,146.815314
4.75,2,146.838396
4.9,1,146.868108
4.3,5,146.899712
4.0,7,146.933862
4.15,6,146.963522
-1.75,15,147.008457
4.45,4,147.036483
-1.75,15,147.082142
3.85,8,147.118131
4.15,6,147.15131
4.3,5,147.189807
4.3,5,147.220252
4.9,1,147.242297
3.4,11,147.284583
-1.75,15,147.332252
-1.75,15,147.376754
4.6,3,147.407297
4.45,4,147.435002
4.15,6,147.46688
3.55,10,147.505889
3.7,9,147.541527
4.0,7,147.736242
4.45,4,147.767556
4.6,3,147.79361
4.0,7,147.827499
4.15,6,147.85849
4.3,5,147.896731
4.0,7,147.934597
4.15,6,147.972525
-1.75,15,148.022571
4.0,7,148.060841
3.85,8,148.092533
3.7,9,148.130873
3.55,10,148.169995
4.6,3,148.199772
3.85,8,148.237835
4.15,6,148.271313
4.0,7,148.309114
4.45,4,148.337503
4.6,3,148.367332
4.15,6,148.407604
4.3,5,148.440189
-1.75,15,148.486038
4.9,1,148.50807
3.7,9,148.542212
4.75,2,148.569916
4.6,3,148.597277
4.45,4,148.626787
3.85,8,148.664071
4.6,3,148.694072
